Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R902,33R,R_0201_Dense,164.2,-108.67,-90.0,top
R903,33R,R_0201_Dense,165.7,-108.703,-90.0,top
R904,5k1,R_0201_Dense,163.7,-108.67,90.0,top
R905,5k1,R_0201_Dense,165.2,-108.703,90.0,top
R906,33R,R_0201_Dense,158.72,-114.728,0.0,bottom
R907,5k1,R_0201_Dense,166.1,-115.703,-90.0,top
R908,5k1,R_0201_Dense,166.6,-115.703,-90.0,top
R909,100k,R_0201_Dense,161.0,-109.55,90.0,top
R910,33R,R_0201_Dense,167.2,-108.703,-90.0,top
R911,33R,R_0201_Dense,168.7,-108.703,-90.0,top
R912,5k1,R_0201_Dense,166.7,-108.703,90.0,top
R913,5k1,R_0201_Dense,168.2,-108.703,90.0,top
R914,5k1,R_0201_Dense,166.5,-117.103,-90.0,top
R915,33R,R_0201_Dense,170.2,-108.703,-90.0,top
R916,33R,R_0201_Dense,171.7,-108.703,-90.0,top
R917,5k1,R_0201_Dense,169.7,-108.703,90.0,top
R918,5k1,R_0201_Dense,171.2,-108.703,90.0,top
U701,TCAN4550-Q1,Texas_RGY_R-PVQFN-N20_EP2.05x3.05mm,170.9,-115.953,0.0,bottom
U702,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,167.9,-112.35,270.0,bottom
U801,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,175.4,-124.9499,90.0,bottom
U802,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,172.6,-124.9499,90.0,bottom
U803,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,176.4,-119.653,90.0,top
U804,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,174.4,-119.653,90.0,top
U805,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,181.51,-126.513,90.0,top
U806,ES7241D,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,175.8,-113.5,-90.0,top
U901,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,163.95,-109.97,180.0,top
U902,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,165.45,-109.97,180.0,top
U903,TPS2HCS10A-Q1,Texas_HTSSOP-16-1EP_5.0x4.4mm_P0.65mm_EP5.0x3.4mm_Mask3.313x2.78mm,161.9,-113.753,180.0,top
U904,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,166.95,-109.97,180.0,top
U905,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,168.45,-109.97,180.0,top
U906,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,169.95,-109.97,180.0,top
U907,74LV1T125,X2SON5_SOT1226_0.8x0.8mm,171.45,-109.97,180.0,top
Y701,40MHz,Oscillator_SMD_Abracon_ASAAIG-4Pin_2.0x1.6mm,170.9,-111.95,270.0,bottom
